航班号,航空公司,航空公司代码,出发机场,出发机场名称,到达机场,到达机场名称,出发时间,到达时间,运营日期,数据来源
DA7501,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 08:10:00,2025-03-22 08:40:00,每日,direct_web_scraping
DA7503,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 09:25:00,2025-03-22 09:55:00,每日,direct_web_scraping
DA7505,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 10:10:00,2025-03-22 10:40:00,每日,direct_web_scraping
DA7507,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 12:25:00,2025-03-22 12:55:00,每日,direct_web_scraping
DA7509,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 13:30:00,2025-03-22 14:00:00,每日,direct_web_scraping
DA7511,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 15:30:00,2025-03-22 16:00:00,每日,direct_web_scraping
DA7501,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 08:10:00,2025-03-22 08:40:00,Daily,direct_web_scraping
DA7503,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 09:25:00,2025-03-22 09:55:00,Daily,direct_web_scraping
DA7505,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 10:10:00,2025-03-22 10:40:00,Daily,direct_web_scraping
DA7507,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 12:25:00,2025-03-22 12:55:00,Daily,direct_web_scraping
DA7509,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 13:30:00,2025-03-22 14:00:00,Daily,direct_web_scraping
DA7511,德安航空,EBC,TTT,台東,KYD,蘭嶼,2025-03-22 15:30:00,2025-03-22 16:00:00,Daily,direct_web_scraping
DA7502,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 09:10:00,2025-03-22 09:40:00,每日,direct_web_scraping
DA7504,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 10:25:00,2025-03-22 10:55:00,每日,direct_web_scraping
DA7506,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 11:10:00,2025-03-22 11:40:00,每日,direct_web_scraping
DA7508,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 13:25:00,2025-03-22 13:55:00,每日,direct_web_scraping
DA7510,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 14:30:00,2025-03-22 15:00:00,每日,direct_web_scraping
DA7512,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 16:30:00,2025-03-22 17:00:00,每日,direct_web_scraping
DA7502,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 09:10:00,2025-03-22 09:40:00,Daily,direct_web_scraping
DA7504,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 10:25:00,2025-03-22 10:55:00,Daily,direct_web_scraping
DA7506,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 11:10:00,2025-03-22 11:40:00,Daily,direct_web_scraping
DA7508,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 13:25:00,2025-03-22 13:55:00,Daily,direct_web_scraping
DA7510,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 14:30:00,2025-03-22 15:00:00,Daily,direct_web_scraping
DA7512,德安航空,EBC,KYD,蘭嶼,TTT,台東,2025-03-22 16:30:00,2025-03-22 17:00:00,Daily,direct_web_scraping
DA7301,德安航空,EBC,TTT,台東,GNI,綠島,2025-03-22 07:50:00,2025-03-22 08:10:00,每日,direct_web_scraping
DA7303,德安航空,EBC,TTT,台東,GNI,綠島,2025-03-22 11:55:00,2025-03-22 12:15:00,每日,direct_web_scraping
DA7311,德安航空,EBC,TTT,台東,GNI,綠島,2025-03-22 16:00:00,2025-03-22 16:20:00,每日,direct_web_scraping
DA7301,德安航空,EBC,TTT,台東,GNI,綠島,2025-03-22 07:50:00,2025-03-22 08:10:00,Daily,direct_web_scraping
DA7303,德安航空,EBC,TTT,台東,GNI,綠島,2025-03-22 11:55:00,2025-03-22 12:15:00,Daily,direct_web_scraping
DA7311,德安航空,EBC,TTT,台東,GNI,綠島,2025-03-22 16:00:00,2025-03-22 16:20:00,Daily,direct_web_scraping
DA7302,德安航空,EBC,GNI,綠島,TTT,台東,2025-03-22 08:35:00,2025-03-22 08:55:00,每日,direct_web_scraping
DA7304,德安航空,EBC,GNI,綠島,TTT,台東,2025-03-22 12:40:00,2025-03-22 13:00:00,每日,direct_web_scraping
DA7312,德安航空,EBC,GNI,綠島,TTT,台東,2025-03-22 16:45:00,2025-03-22 17:05:00,每日,direct_web_scraping
DA7302,德安航空,EBC,GNI,綠島,TTT,台東,2025-03-22 08:35:00,2025-03-22 08:55:00,Daily,direct_web_scraping
DA7304,德安航空,EBC,GNI,綠島,TTT,台東,2025-03-22 12:40:00,2025-03-22 13:00:00,Daily,direct_web_scraping
